service_id,name,category_id,sub_category,department_id,ministry_id,government_level,state_id,description,eligibility,benefits,application_mode,processing_time,fees,validity,official_portal,official_apply_link,download_forms,helpline_number,email,office_locator_info,languages_available,last_updated,collection_method,source_url,ai_summary,ai_explanation,common_questions,common_mistakes,search_keywords,suggested_followups
SVC-NCS,National Career Service (NCS),CAT-LABOUR,Employment Exchange,DEP-LAB,MIN-LAB,Central,,"Online platform for job seekers and employers with job matching, career counselling, and training listings.",Any job seeker (citizen) or employer in India.,"Free job search, resume builder, career counselling, vacancy posting.",Online (ncs.gov.in) and career centres,Instant registration; application response per employer.,Free.,Profile active; keep updated.,https://ncs.gov.in,https://www.ncs.gov.in,https://ncs.gov.in,1800-425-1514,contactncs@gov.in,Model Career Centres and local employment exchanges.,"Hindi, English",2024-01-01,official_portal,https://ncs.gov.in,NCS is a free national job portal connecting job seekers with employers and counselling.,"NCS offers a unified platform where job seekers register, build resumes, and apply to vacancies, while employers post jobs. It also provides career counselling and training information through Model Career Centres.","[""How do I register on NCS?"", ""How do I find jobs on NCS?"", ""Is NCS free?""]","[""Treating it as the only job source"", ""Incomplete profile lowering matches""]","[""ncs registration"", ""government jobs ncs"", ""free job portal india""]","[""How do I post a job as an employer on NCS?"", ""What career counselling does NCS offer?""]"
SVC-UDYAM,Udyam Registration (MSME),CAT-BUSINESS,MSME Registration,DEP-MSME,MIN-MSME,Central,,"Online registration of Micro, Small and Medium Enterprises to obtain a Udyam certificate and access schemes/incentives.",Enterprises meeting MSME investment/turnover thresholds (manufacturing/services).,"Priority credit, subsidies, tender preferences, easier compliance, scheme eligibility.",Online (udyamregistration.gov.in),Instant certificate on submission.,Free (no government fee).,Valid until cancelled/updated; revalidate as per rules.,https://udyamregistration.gov.in,https://udyamregistration.gov.in/Government-India/Ministry-of-MSME-registration.htm,https://udyamregistration.gov.in,1800-180-6763,udyam@dcmsme.gov.in,MSME-DI offices; district centres.,"Hindi, English",2024-01-01,official_portal,https://udyamregistration.gov.in,Udyam is the free online MSME registration giving enterprises a certificate and scheme benefits.,"Udyam Registration replaces Udyog Aadhaar. Enterprises self-declare with Aadhaar, PAN, GSTIN, and investment/turnover data to get a Udyam certificate, unlocking credit, subsidies, and tender benefits. It is free and instantaneous.","[""How do I register my MSME on Udyam?"", ""Is Udyam free?"", ""What documents are needed for Udyam?"", ""What are MSME limits?""]","[""Wrong Aadhaar owner linkage"", ""Not updating turnover causing classification error"", ""Paying agents for free registration""]","[""udyam registration online"", ""msme certificate download"", ""udyam aadhaar""]","[""What schemes are available for Udyam enterprises?"", ""How do I update my Udyam certificate?""]"
SVC-STARTUP,Startup India Recognition,CAT-BUSINESS,Startup Recognition,DEP-DPIIT,MIN-DPIIT,Central,,"DPIIT recognition of startups to avail tax benefits, easier compliance, IPR fast-track, and funding access.","Entity incorporated as Pvt Ltd/LLP/Partnership, <=10 years old, turnover <= Rs. 100 crore, working toward innovation.","Tax exemption (80-IAC/Section 56), faster patents, self-certification, government tenders, Fund of Funds.",Online (startupindia.gov.in),Recognition typically within days of submission.,Free for recognition.,Recognition valid while entity meets criteria; deregister if not.,https://www.startupindia.gov.in,https://www.startupindia.gov.in/content/sih/en/startupgov/startup-recognition.html,https://www.startupindia.gov.in,1800-115-565,support@startupindia.gov.in,Startup India hubs; state nodal agencies.,"Hindi, English",2024-01-01,official_portal,https://www.startupindia.gov.in,"Startup India gives DPIIT recognition for tax, IP, and tender benefits to eligible young innovative entities.","Eligible Indian startups (<=10 years, turnover <= Rs. 100 crore) self-apply for DPIIT recognition, unlocking income-tax exemptions, faster IP protection, self-certification on labour laws, and easier public procurement. Recognition is free.","[""Am I eligible for Startup India?"", ""How do I get DPIIT recognition?"", ""What tax benefits do startups get?"", ""How do I apply for Startup India?""]","[""Applying before incorporation"", ""Not meeting innovation criterion"", ""Missing annual compliance""]","[""startup india registration"", ""dpiit recognition"", ""startup tax exemption""]","[""How do I claim 80-IAC tax exemption?"", ""What is the Fund of Funds for startups?""]"
SVC-GEM,GeM (Government e-Marketplace),CAT-BUSINESS,Public Procurement,DEP-GEM,MIN-GOI,Central,,Online platform for procurement of goods and services by government buyers and selling by sellers/MSMEs.,"Sellers (including MSMEs) and government buyers; sellers need business registration, bank, tax details.","Transparent public procurement, direct market access, MSE preference, timely payment.",Online (gem.gov.in),Registration quick; transaction per bid cycle.,No fee for buyers; sellers pay one-time caution money + per-transaction charges per GeM policy.,Account active while KYC valid.,https://gem.gov.in,https://gem.gov.in/registration,https://gem.gov.in,1800-419-3436 / 1800-102-3436,helpdesk-gem@gem.gov.in,GeM regional outreach; buyer organisations.,"Hindi, English",2024-01-01,official_portal,https://gem.gov.in,GeM is the national public procurement portal connecting government buyers with sellers/MSMEs.,"GeM is an open e-marketplace where government departments buy goods/services and businesses (including MSMEs) sell. It brings transparency, MSE preferences, and faster payments. Sellers register with business and tax details and list catalogues.","[""How do I sell on GeM?"", ""Who can buy on GeM?"", ""What are GeM seller charges?"", ""How do I register on GeM?""]","[""Incomplete KYC delaying approval"", ""Mis-pricing catalogues"", ""Ignoring MSE preference rules""]","[""gem seller registration"", ""gem.gov.in login"", ""government tender gem""]","[""What documents are needed to sell on GeM?"", ""How are GeM payments made?""]"
SVC-ITR,Income Tax e-Filing & Return (ITR),CAT-FINANCE,Direct Tax,DEP-CBDT,MIN-CBDT,Central,,"Online filing of Income Tax Returns, PAN services, and tax payments by the Income Tax Department.","Individuals/entities with taxable income or mandated filing (e.g., refund, foreign asset, high turnover).","Legal compliance, refund claims, proof of income, easier loans/visa.",Online (incometax.gov.in),Filing instant; refund within months of processing.,No government filing fee; late fees under Section 234F if delayed.,Annual return for each financial year.,https://www.incometax.gov.in,https://www.incometax.gov.in/iec/foportal/,https://www.incometax.gov.in/iec/foportal/help/itr-forms,1800-103-0023 / 1961,efilingwebmanager@incometax.gov.in,Local Income Tax offices / Aaykar Sampark Kendras.,"Hindi, English",2024-01-01,official_portal,https://www.incometax.gov.in,"Income Tax e-Filing lets taxpayers file ITRs, pay tax, and claim refunds online; Aadhaar-PAN linked.","Taxpayers file annual returns on the e-Filing portal using the appropriate ITR form, pre-filling data where available. After paying any due tax they verify the return via Aadhaar OTP or EVC. PAN must be linked to Aadhaar. Late filing attracts Section 234F fees.","[""Which ITR form should I file?"", ""How do I file ITR online?"", ""How do I check refund status?"", ""Is PAN-Aadhaar linking mandatory?""]","[""Wrong ITR form"", ""Not verifying return after submit"", ""Missing Aadhaar-PAN link"", ""Forgetting to report all income""]","[""itr filing online"", ""income tax refund status"", ""itr forms download"", ""pan aadhaar link""]","[""What are the ITR deadlines?"", ""How do I respond to a tax notice?""]"
SVC-GST,GST Registration & Returns,CAT-FINANCE,Indirect Tax,DEP-GST,MIN-CBIC,Central,,"Goods and Services Tax registration, return filing, and compliance for businesses via the GST portal.","Businesses with aggregate turnover above threshold (Rs. 20 lakh/10 lakh/40 lakh by category) or mandated (inter-state, e-commerce, casual).","Legal tax identity, input tax credit, interstate trade, compliance certificates.",Online (gst.gov.in),Registration usually within 7-30 days; returns monthly/quarterly.,No government registration fee; late fees for delayed returns.,GSTIN valid until cancellation/suspension.,https://www.gst.gov.in,https://www.gst.gov.in/registration,https://www.gst.gov.in/help/returns,1800-103-4786 / 14444,webmaster@cgst.gov.in,GST Seva Kendras / state tax offices.,"Hindi, English",2024-01-01,official_portal,https://www.gst.gov.in,GST registration and return filing portal; mandatory above turnover thresholds; input tax credit enabled.,"Businesses above the turnover threshold register for GST to get a GSTIN, charge tax, and claim input tax credit. Returns (GSTR-1, GSTR-3B) are filed online. Registration is free but late returns incur fees. Aadhaar authentication is used.","[""Do I need GST registration?"", ""How do I register for GST?"", ""What is the GST threshold?"", ""How do I file GSTR-3B?""]","[""Wrong turnover threshold assumption"", ""Not filing NIL returns"", ""Mismatch in GSTR-1/3B"", ""Skipping Aadhaar auth""]","[""gst registration online"", ""gst threshold limit"", ""gstr 3b filing"", ""gst portal login""]","[""What is the difference between GSTR-1 and GSTR-3B?"", ""How do I cancel GST registration?""]"
SVC-DIGILOCKER,DigiLocker,CAT-DIGITAL,Digital Document Wallet,DEP-NEGD,MIN-MEITY,Central,,Digital locker to store and share verified electronic documents issued by government agencies; reduce physical paperwork.,Indian citizens with Aadhaar (used for sign-up).,"Instant access to issued documents (marksheets, licences), verified e-documents, paperless verification.",Online (digilocker.gov.in) and mobile app,Instant; document fetch depends on issuer.,Free.,Account active; documents as issued.,https://www.digilocker.gov.in,https://digilocker.gov.in/signin,https://www.digilocker.gov.in,1800-153-374 / support via portal,support.digilocker@digitalindia.gov.in,Digital India / CSC support.,"Hindi, English",2024-01-01,official_portal,https://www.digilocker.gov.in,DigiLocker is a free digital document wallet issuing and storing verified e-documents via Aadhaar login.,"DigiLocker lets citizens store and share government-issued digital documents (marksheets, driving licences, certificates) fetched directly from issuers, reducing physical paperwork. Sign-up uses Aadhaar OTP. e-Documents are legally recognised under the IT Act.","[""What is DigiLocker?"", ""How do I sign up for DigiLocker?"", ""Are DigiLocker documents valid?"", ""How do I share a DigiLocker document?""]","[""Assuming it stores only uploads (issuer fetch is key)"", ""Not linking Aadhaar"", ""Sharing full account instead of document URI""]","[""digilocker signup"", ""digilocker documents list"", ""digilocker app download""]","[""Which documents can I fetch in DigiLocker?"", ""How do I issue documents as a government agency?""]"
SVC-UMANG,UMANG (Unified Mobile App for New-age Governance),CAT-DIGITAL,Mobile Services Aggregator,DEP-NEGD,MIN-MEITY,Central,,"Single mobile app aggregating central, state, and utility services (EPFO, income tax, passport, bill pay, etc.).",Any citizen with a smartphone; services may need respective IDs.,One app for many government services; multilingual; Aadhaar/PAN-based auth.,Mobile app (UMANG) and web,Per service.,Free app; service charges as applicable.,Account active.,https://umang.gov.in,https://web.umang.gov.in,https://umang.gov.in,1800-111-550,helpdesk@umang.gov.in,NeGD support.,"Hindi, English and multiple Indian languages",2024-01-01,official_portal,https://umang.gov.in,UMANG is a single mobile/portal aggregator for hundreds of central and state government services.,"UMANG consolidates many government services into one app, letting citizens access EPFO, tax, passport, bill payments, and state services with a single login. It is multilingual and free, with per-service authentication.","[""What is UMANG app?"", ""Which services are on UMANG?"", ""How do I register on UMANG?"", ""Is UMANG free?""]","[""Expecting all services offline"", ""Not updating app for new services""]","[""umang app download"", ""umang services list"", ""umang epfo claim""]","[""How do I use UMANG for EPFO?"", ""Which Maharashtra services are on UMANG?""]"
SVC-PMAYU,Pradhan Mantri Awas Yojana (Urban),CAT-HOUSING,Housing for All,DEP-PMAY,MIN-HOU,Central,,Credit-linked subsidy and affordable housing support for urban poor/EWS/LIG/MIG to own a pucca house.,Urban households in EWS/LIG/MIG categories with no pucca house; income and property criteria apply.,Interest subsidy on home loan (CLSS) and support for house construction.,Online (pmaymis.gov.in) and via urban local bodies,Verification and sanction per state/ULB cycle.,Free to apply.,Benefit once per family.,https://pmaymis.gov.in,https://pmaymis.gov.in/,https://pmaymis.gov.in/,1800-11-6446 / 011-23063285,pmaymis-moihua@gov.in,Urban Local Bodies / State Nodal Agencies.,"Hindi, English, regional",2024-01-01,official_portal,https://pmaymis.gov.in,PMAY-U gives urban EWS/LIG/MIG households interest subsidy and support to build/buy a pucca house.,PMAY-U aims 'Housing for All' in urban areas via Credit Linked Subsidy (CLSS) and direct construction support. Eligible households without a pucca house apply online or via ULBs; subsidy is credited to the loan account.,"[""Am I eligible for PMAY?"", ""How do I apply for PMAY subsidy?"", ""What is CLSS?"", ""What are PMAY income limits?""]","[""Already owning a pucca house"", ""Mismatch in Aadhaar/bank"", ""Applying under wrong category""]","[""pmay apply online"", ""pmay subsidy status"", ""pmay eligibility"", ""clss home loan""]","[""What are the PMAY-U income limits?"", ""How is the CLSS subsidy calculated?""]"
SVC-NSP,National Scholarship Portal (NSP),CAT-EDUCATION,Scholarships,DEP-NSP,MIN-EDU,Central,,"Centralised portal for central/state/UT scholarship schemes with application, verification, and DBT.","Students meeting scheme-specific criteria (merit, income, category, institution).",Single-window scholarships; direct benefit transfer to bank account.,Online (scholarships.gov.in),Per scheme cycle (application->verification->sanction).,Free.,Per academic year; renew annually.,https://scholarships.gov.in,https://scholarships.gov.in/fresh/newstdRegFrm.action,https://scholarships.gov.in,0120-6619540,helpdesk@nsp.gov.in,Institution Nodal Officers; state scholarship departments.,"Hindi, English",2024-01-01,official_portal,https://scholarships.gov.in,NSP is a one-stop portal for government scholarships with online apply and DBT to students.,"The National Scholarship Portal unifies central, state, and UT scholarship schemes. Students register, find eligible schemes, apply with documents, and receive funds via DBT after institute and nodal verification. Renewal is annual.","[""How do I apply for scholarship on NSP?"", ""Which scholarships are on NSP?"", ""How do I check NSP status?"", ""What documents are needed for NSP?""]","[""Applying to conflicting schemes"", ""Wrong bank/Aadhaar seeding"", ""Missing renewal deadline""]","[""nsp scholarship apply"", ""nsp login"", ""scholarship status nsp"", ""national scholarship portal""]","[""What is the NSP application deadline?"", ""How do I renew my NSP scholarship?""]"
