id,service_id,keyword
KW-0123,SVC-MAH-AAPLE,aaple sarkar
KW-0124,SVC-MAH-AAPLE,mahaonline
KW-0125,SVC-MAH-AAPLE,maharashtra certificate
KW-0126,SVC-MAH-AAPLE,caste certificate
KW-0127,SVC-MAH-AAPLE,income certificate
KW-0128,SVC-MAH-REV,mahabhulekh
KW-0129,SVC-MAH-REV,satbara
KW-0130,SVC-MAH-REV,7/12
KW-0131,SVC-MAH-REV,8a
KW-0132,SVC-MAH-REV,land records
KW-0133,SVC-MAH-REV,maharashtra revenue
KW-0134,SVC-MAH-FOOD,maharashtra ration card
KW-0135,SVC-MAH-FOOD,mahafood
KW-0136,SVC-MAH-FOOD,pds
KW-0137,SVC-MAH-FOOD,nfsa
KW-0138,SVC-MAH-FOOD,food supply
KW-0139,SVC-MAH-DBT,mahadbt
KW-0140,SVC-MAH-DBT,maharashtra scholarship
KW-0141,SVC-MAH-DBT,dbt
KW-0142,SVC-MAH-DBT,post matric scholarship
KW-0143,SVC-MAH-DBT,student
KW-0144,SVC-MAH-RTO,maharashtra rto
KW-0145,SVC-MAH-RTO,driving licence maharashtra
KW-0146,SVC-MAH-RTO,transport department
KW-0147,SVC-MAH-RTO,rc maharashtra
